0,0,34
0,1,36
0,2,38
0,3,40
0,4,42
0,5,44
0,6,46
0,7,48
0,8,50
0,9,52
0,10,54
0,11,56
0,12,58
0,13,60
0,14,62
0,15,64
0,16,66
0,17,67
0,18,68
1,0,31
1,1,94
1,2,92
1,3,91
1,4,89
1,5,88
1,6,86
1,7,85
1,8,83
1,9,82
1,10,80
1,11,79
1,12,77
1,13,76
1,14,74
1,15,73
1,16,71
1,17,70
1,18,69
2,0,29
2,1,95
2,2,96
2,3,98
2,4,99
2,5,101
2,6,102
2,7,104
2,8,105
2,9,107
2,10,108
2,11,110
2,12,111
2,13,113
2,14,114
2,15,116
2,16,117
2,17,118
2,18,119
3,0,27
3,1,145
3,2,143
3,3,142
3,4,140
3,5,139
3,6,137
3,7,136
3,8,134
3,9,133
3,10,131
3,11,130
3,12,128
3,13,127
3,14,125
3,15,124
3,16,122
3,17,121
3,18,120
4,0,25
4,1,146
4,2,147
4,3,149
4,4,150
4,5,152
4,6,153
4,7,155
4,8,156
4,9,158
4,10,159
4,11,161
4,12,162
4,13,164
4,14,165
4,15,167
4,16,168
4,17,169
4,18,170
5,0,23
5,1,196
5,2,194
5,3,193
5,4,191
5,5,190
5,6,188
5,7,187
5,8,185
5,9,184
5,10,182
5,11,181
5,12,179
5,13,178
5,14,176
5,15,175
5,16,173
5,17,172
5,18,171
6,0,21
6,1,197
6,2,198
6,3,200
6,4,201
6,5,203
6,6,204
6,7,206
6,8,207
6,9,209
6,10,210
6,11,212
6,12,213
6,13,215
6,14,216
6,15,218
6,16,219
6,17,220
6,18,221
7,0,19
7,1,247
7,2,245
7,3,244
7,4,242
7,5,241
7,6,239
7,7,238
7,8,236
7,9,235
7,10,233
7,11,232
7,12,230
7,13,229
7,14,227
7,15,226
7,16,224
7,17,223
7,18,222
8,0,17
8,1,248
8,2,249
8,3,251
8,4,252
8,5,254
8,6,255
8,7,257
8,8,258
8,9,260
8,10,261
8,11,263
8,12,264
8,13,266
8,14,267
8,15,269
8,16,270
8,17,271
8,18,272
9,0,15
9,1,298
9,2,296
9,3,295
9,4,293
9,5,292
9,6,290
9,7,289
9,8,287
9,9,286
9,10,284
9,11,283
9,12,281
9,13,280
9,14,278
9,15,277
9,16,275
9,17,274
9,18,273
10,0,13
10,1,299
10,2,300
10,3,302
10,4,303
10,5,305
10,6,306
10,7,308
10,8,309
10,9,311
10,10,312
10,11,314
10,12,315
10,13,317
10,14,318
10,15,320
10,16,321
10,17,322
10,18,323
11,0,11
11,1,349
11,2,347
11,3,346
11,4,344
11,5,343
11,6,341
11,7,340
11,8,338
11,9,337
11,10,335
11,11,334
11,12,332
11,13,331
11,14,329
11,15,328
11,16,326
11,17,325
11,18,324
12,0,9
12,1,350
12,2,351
12,3,353
12,4,354
12,5,356
12,6,357
12,7,359
12,8,360
12,9,362
12,10,363
12,11,365
12,12,366
12,13,368
12,14,369
12,15,371
12,16,372
12,17,373
12,18,374
13,0,7
13,1,400
13,2,398
13,3,397
13,4,395
13,5,394
13,6,392
13,7,391
13,8,389
13,9,388
13,10,386
13,11,385
13,12,383
13,13,382
13,14,380
13,15,379
13,16,377
13,17,376
13,18,375
14,0,5
14,1,401
14,2,402
14,3,404
14,4,405
14,5,407
14,6,408
14,7,410
14,8,411
14,9,413
14,10,414
14,11,416
14,12,417
14,13,419
14,14,420
14,15,422
14,16,423
14,17,424
14,18,425
15,0,3
15,1,451
15,2,449
15,3,448
15,4,446
15,5,445
15,6,443
15,7,442
15,8,440
15,9,439
15,10,437
15,11,436
15,12,434
15,13,433
15,14,431
15,15,430
15,16,428
15,17,427
15,18,426
16,0,1
16,1,452
16,2,453
16,3,455
16,4,456
16,5,458
16,6,459
16,7,461
16,8,462
16,9,464
16,10,465
16,11,467
16,12,468
16,13,470
16,14,471
16,15,473
16,16,474
16,17,475
16,18,476
